sigma,repeat,model,apcer,bpcer,acer,accuracy
0.02,4,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.02,4,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.02,5,B0_majority,0.0,1.0,0.5,0.5
0.02,5,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.02,5,M1_pls,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
0.02,6,B0_majority,0.0,1.0,0.5,0.5
0.02,6,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.02,6,M1_pls,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
0.02,7,B0_majority,0.0,1.0,0.5,0.5
0.02,7,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.02,7,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.02,8,B0_majority,0.0,1.0,0.5,0.5
0.02,8,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.02,8,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.02,9,B0_majority,0.0,1.0,0.5,0.5
0.02,9,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.02,9,M1_pls,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
0.02,10,B0_majority,0.0,1.0,0.5,0.5
0.02,10,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.02,10,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.02,11,B0_majority,0.0,1.0,0.5,0.5
0.02,11,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.02,11,M1_pls,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
0.02,12,B0_majority,0.0,1.0,0.5,0.5
0.02,12,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.02,12,M1_pls,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
0.02,13,B0_majority,0.0,1.0,0.5,0.5
0.02,13,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.02,13,M1_pls,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334
0.02,14,B0_majority,0.0,1.0,0.5,0.5
0.02,14,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.02,14,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.02,15,B0_majority,0.0,1.0,0.5,0.5
0.02,15,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.02,15,M1_pls,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
0.02,16,B0_majority,0.0,1.0,0.5,0.5
0.02,16,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.02,16,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.02,17,B0_majority,0.0,1.0,0.5,0.5
0.02,17,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.02,17,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.02,18,B0_majority,0.0,1.0,0.5,0.5
0.02,18,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.02,18,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.02,19,B0_majority,0.0,1.0,0.5,0.5
0.02,19,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.02,19,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.05,0,B0_majority,0.0,1.0,0.5,0.5
0.05,0,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.05,0,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.05,1,B0_majority,0.0,1.0,0.5,0.5
0.05,1,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.05,1,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.05,2,B0_majority,0.0,1.0,0.5,0.5
0.05,2,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.05,2,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.05,3,B0_majority,0.0,1.0,0.5,0.5
0.05,3,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.05,3,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.05,4,B0_majority,0.0,1.0,0.5,0.5
0.05,4,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.05,4,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.05,5,B0_majority,0.0,1.0,0.5,0.5
0.05,5,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.05,5,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.05,6,B0_majority,0.0,1.0,0.5,0.5
0.05,6,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.05,6,M1_pls,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
0.05,7,B0_majority,0.0,1.0,0.5,0.5
0.05,7,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.05,7,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.05,8,B0_majority,0.0,1.0,0.5,0.5
0.05,8,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.05,8,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.05,9,B0_majority,0.0,1.0,0.5,0.5
0.05,9,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.05,9,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.05,10,B0_majority,0.0,1.0,0.5,0.5
0.05,10,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.05,10,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.05,11,B0_majority,0.0,1.0,0.5,0.5
0.05,11,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.05,11,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.05,12,B0_majority,0.0,1.0,0.5,0.5
0.05,12,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.05,12,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.05,13,B0_majority,0.0,1.0,0.5,0.5
0.05,13,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.05,13,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.05,14,B0_majority,0.0,1.0,0.5,0.5
0.05,14,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.05,14,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.05,15,B0_majority,0.0,1.0,0.5,0.5
0.05,15,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.05,15,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.05,16,B0_majority,0.0,1.0,0.5,0.5
0.05,16,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.05,16,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.05,17,B0_majority,0.0,1.0,0.5,0.5
0.05,17,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.05,17,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.05,18,B0_majority,0.0,1.0,0.5,0.5
0.05,18,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.05,18,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.05,19,B0_majority,0.0,1.0,0.5,0.5
0.05,19,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.05,19,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.1,0,B0_majority,0.0,1.0,0.5,0.5
0.1,0,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.1,0,M1_pls,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
0.1,1,B0_majority,0.0,1.0,0.5,0.5
0.1,1,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.1,1,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.1,2,B0_majority,0.0,1.0,0.5,0.5
0.1,2,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.1,2,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.1,3,B0_majority,0.0,1.0,0.5,0.5
0.1,3,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.1,3,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.1,4,B0_majority,0.0,1.0,0.5,0.5
0.1,4,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.1,4,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.1,5,B0_majority,0.0,1.0,0.5,0.5
0.1,5,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.1,5,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.1,6,B0_majority,0.0,1.0,0.5,0.5
0.1,6,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.1,6,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.1,7,B0_majority,0.0,1.0,0.5,0.5
0.1,7,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.1,7,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.1,8,B0_majority,0.0,1.0,0.5,0.5
0.1,8,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.1,8,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.1,9,B0_majority,0.0,1.0,0.5,0.5
0.1,9,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.1,9,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.1,10,B0_majority,0.0,1.0,0.5,0.5
0.1,10,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.1,10,M1_pls,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
0.1,11,B0_majority,0.0,1.0,0.5,0.5
0.1,11,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.1,11,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.1,12,B0_majority,0.0,1.0,0.5,0.5
0.1,12,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.1,12,M1_pls,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
0.1,13,B0_majority,0.0,1.0,0.5,0.5
